,Date,Confirmed_1,Discharges_1,LocalTransmission_1
106,5/15/2020,41.0,111.0,41.0
107,5/16/2020,-328.0,-181.0,-328.0
108,5/17/2020,217.0,-96.0,217.0
109,5/18/2020,-377.0,-503.0,-377.0
110,5/19/2020,146.0,35.0,146.0
111,5/20/2020,119.0,312.0,119.0
112,5/21/2020,-122.0,68.0,-122.0
113,5/22/2020,166.0,-72.0,166.0
114,5/23/2020,28.0,89.0,28.0
115,5/24/2020,-94.0,67.0,-94.0
116,5/25/2020,-204.0,-132.0,-204.0
117,5/26/2020,39.0,-156.0,39.0
118,5/27/2020,150.0,126.0,150.0
119,5/28/2020,-160.0,186.0,-160.0
120,5/29/2020,238.0,319.0,238.0
121,5/30/2020,-105.0,-241.0,-105.0
122,5/31/2020,12.0,-124.0,12.0
123,6/1/2020,-110.0,-205.0,-110.0
124,6/2/2020,136.0,-58.0,136.0
125,6/3/2020,25.0,-302.0,25.0
126,6/4/2020,-52.0,-85.0,-52.0
127,6/5/2020,-256.0,-17.0,-256.0
128,6/6/2020,83.0,45.0,83.0
129,6/7/2020,39.0,-23.0,39.0
130,6/8/2020,3.0,155.0,3.0
131,6/9/2020,-168.0,27.0,-168.0
132,6/10/2020,233.0,146.0,233.0
133,6/11/2020,-29.0,99.0,-29.0
134,6/12/2020,41.0,0.0,41.0
135,6/13/2020,-116.0,14.0,-116.0
136,6/14/2020,60.0,13.0,59.0
137,6/15/2020,-193.0,-4.0,-192.0
138,6/16/2020,-63.0,20.0,-63.0
139,6/17/2020,96.0,-22.0,96.0
140,6/18/2020,10.0,-1.0,10.0
141,6/19/2020,-115.0,-27.0,-115.0
142,6/20/2020,76.0,18.0,76.0
143,6/21/2020,44.0,-47.0,44.0
144,6/22/2020,-44.0,-70.0,-44.0
145,6/23/2020,-99.0,-243.0,-99.0
146,6/24/2020,72.0,-101.0,72.0
147,6/25/2020,-78.0,1.0,-78.0
148,6/26/2020,106.0,-84.0,106.0
149,6/27/2020,72.0,117.0,72.0
150,6/28/2020,-78.0,7.0,-78.0
151,6/29/2020,-11.0,132.0,-11.0
152,6/30/2020,44.0,38.0,43.0
153,7/1/2020,-31.0,-4.0,-34.0
154,7/2/2020,-27.0,-93.0,-24.0
155,7/3/2020,-19.0,-78.0,-21.0
156,7/4/2020,16.0,8.0,18.0
157,7/5/2020,-49.0,-24.0,-55.0
158,7/6/2020,47.0,-48.0,51.0
159,7/7/2020,-26.0,9.0,-26.0
160,7/8/2020,1.0,36.0,1.0
161,7/9/2020,-33.0,1.0,-31.0
162,7/10/2020,66.0,-187.0,66.0
163,7/11/2020,-21.0,111.0,-21.0
164,7/12/2020,8.0,13.0,8.0
165,7/13/2020,144.0,-3.0,140.0
166,7/14/2020,25.0,-60.0,28.0
167,7/15/2020,-98.0,55.0,-101.0
168,7/16/2020,-1.0,17.0,0.0
169,7/17/2020,79.0,53.0,80.0
170,7/18/2020,-125.0,-65.0,-130.0
171,7/19/2020,55.0,-3.0,58.0
172,7/20/2020,-134.0,32.0,-131.0
173,7/21/2020,276.0,-72.0,275.0
174,7/22/2020,-89.0,-2.0,-92.0
175,7/23/2020,44.0,9.0,45.0
176,7/24/2020,-77.0,-63.0,-74.0
177,7/25/2020,236.0,23.0,232.0
178,7/26/2020,-32.0,-11.0,-30.0
179,7/27/2020,-12.0,2.0,-23.0
180,7/28/2020,-110.0,30.0,-97.0
181,7/29/2020,-25.0,4.0,-27.0
182,7/30/2020,-56.0,5.0,-56.0
183,7/31/2020,118.0,-27.0,119.0
184,8/1/2020,-89.0,66.0,-91.0
185,8/2/2020,6.0,-63.0,6.0
186,8/3/2020,-87.0,67.0,-91.0
187,8/4/2020,69.0,22.0,71.0
188,8/5/2020,613.0,39.0,616.0
189,8/6/2020,-607.0,-51.0,-607.0
190,8/7/2020,-59.0,18.0,-61.0
191,8/8/2020,-110.0,-10.0,-110.0
192,8/9/2020,43.0,61.0,46.0
193,8/10/2020,13.0,362.0,4.0
194,8/11/2020,-127.0,-175.0,-118.0
195,8/12/2020,-19.0,-127.0,-27.0
196,8/13/2020,60.0,-176.0,65.0
197,8/14/2020,-19.0,97.0,-17.0
198,8/15/2020,-2.0,159.0,-14.0
199,8/16/2020,5.0,-40.0,15.0
200,8/17/2020,5.0,-35.0,5.0
201,8/18/2020,9.0,-214.0,13.0
202,8/19/2020,-7.0,94.0,-11.0
203,8/20/2020,-25.0,32.0,-21.0
204,8/21/2020,49.0,223.0,38.0
205,8/22/2020,-67.0,-263.0,-59.0
206,8/23/2020,37.0,-25.0,29.0
207,8/24/2020,-36.0,179.0,-30.0
208,8/25/2020,-20.0,-193.0,-14.0
209,8/26/2020,29.0,-75.0,20.0
210,8/27/2020,17.0,13.0,22.0
211,8/28/2020,17.0,30.0,12.0
212,8/29/2020,-43.0,-88.0,-36.0
213,8/30/2020,3.0,29.0,-1.0
214,8/31/2020,-13.0,-67.0,-13.0
215,9/1/2020,-1.0,19.0,-1.0
216,9/2/2020,9.0,51.0,13.0
217,9/3/2020,-1.0,-5.0,-3.0
218,9/4/2020,-8.0,9.0,-6.0
219,9/5/2020,-6.0,-53.0,-5.0
220,9/6/2020,6.0,-27.0,-5.0
221,9/7/2020,-18.0,9.0,-8.0
222,9/8/2020,25.0,-22.0,27.0
223,9/9/2020,28.0,-22.0,15.0
224,9/10/2020,-12.0,35.0,-4.0
225,9/11/2020,23.0,-17.0,16.0
226,9/12/2020,-44.0,43.0,-41.0
227,9/13/2020,7.0,-27.0,9.0
228,9/14/2020,-1.0,-27.0,2.0
229,9/15/2020,-14.0,44.0,-15.0
230,9/16/2020,-7.0,-11.0,-3.0
231,9/17/2020,-9.0,13.0,-9.0
232,9/18/2020,-7.0,-52.0,-6.0
233,9/19/2020,4.0,39.0,0.0
234,9/20/2020,3.0,-32.0,4.0
235,9/21/2020,13.0,21.0,8.0
236,9/22/2020,-10.0,-39.0,-2.0
237,9/23/2020,-9.0,8.0,-12.0
238,9/24/2020,3.0,13.0,2.0
239,9/25/2020,-4.0,-34.0,-1.0
240,9/26/2020,9.0,11.0,6.0
241,9/27/2020,-5.0,-11.0,-5.0
242,9/28/2020,0.0,18.0,-1.0
243,9/29/2020,12.0,47.0,9.0
244,9/30/2020,-4.0,-51.0,1.0
245,10/1/2020,-4.0,2.0,-15.0
246,10/2/2020,-9.0,-2.0,1.0
247,10/3/2020,-4.0,6.0,-3.0
248,10/4/2020,6.0,-15.0,4.0
249,10/5/2020,-5.0,9.0,0.0
250,10/6/2020,4.0,-7.0,1.0
251,10/7/2020,-1.0,-3.0,-3.0
